SCHOOL,LOCATION,DISTRICT,REGION
AKWESI AWOBAA SENIOR HIGH SCHOOL,ANYINASU,EJURA/SEKYEDUMASE,ASHANTI
"PENTECOST SENIOR HIGH SCHOOL, KUMASI","BREMAN WEST, KUMASI",KUMASI METRO,ASHANTI
OSEI KYERETWIE SENIOR HIGH SCHOOL,OLD TAFO - KUMASI,KUMASI METRO,ASHANTI
"AL-AZARIYA ISLAMIC SENIOR HIGH SCHOOL, KUMASI","OLD TAFO, KUMASI",KUMASI METRO,ASHANTI
KUMASI GIRLS SENIOR HIGH SCHOOL,ABREPO,KUMASI METRO,ASHANTI
"UTHMANIYA SENIOR HIGH SCHOOL, TAFO",TAFO,KUMASI METRO,ASHANTI
KUMASI WESLEY GIRLS HIGH SCHOOL,OLD TAFO - KUMASI,KUMASI METRO,ASHANTI
ASANTEMAN SENIOR HIGH SCHOOL,BANTAMA,KUMASI METRO,ASHANTI
"ADVENTIST  SENIOR HIGH SCHOOL, KUMASI",BANTAMA-KUMASI,KUMASI METRO,ASHANTI
SERWAAH NYARKO GIRLS' SENIOR HIGH SCHOOL,DICHEMSO,KUMASI METRO,ASHANTI
PREMPEH COLLEGE,SOFOLINE-KUMASI,KUMASI METRO,ASHANTI
"NURU-AMEEN ISLAMIC SENIOR HIGH SCHOOL, ASEWASE",ASEWASE,KUMASI METRO,ASHANTI
TAWHEED SENIOR HIGH SCHOOL,KUMASI-AKWATIA LINE,KUMASI METRO,ASHANTI
YAA ASANTEWAA GIRLS SENIOR HIGH SCHOOL,TANOSO-KUMASI,KUMASI METRO,ASHANTI
PRINCE OF PEACE GIRLS,KWADASO ESTATES,KUMASI METRO,ASHANTI
"ST. LOUIS SENIOR HIGH SCHOOL, KUMASI",ODUOM-KUMASI,KUMASI METRO,ASHANTI
"ARMED FORCES SENIOR HIGH/TECH SCHOOL, KUMASI",BANTAMA-KUMASI,KUMASI METRO,ASHANTI
KUMASI TECH. INST.,KUMASI,KUMASI METRO,ASHANTI
"ANGLICAN SENIOR HIGH SCHOOL, KUMASI",ASEM-KUMASI,KUMASI METRO,ASHANTI
KNUST SENIOR HIGH SCHOOL,KNUST,KUMASI METRO,ASHANTI
"T. I. AHMADIYYA SENIOR HIGH SCHOOL, KUMASI",KUMASI - STADIUM ,KUMASI METRO,ASHANTI
KUMASI SENIOR HIGH/TECH SCHOOL,PATASI-KUMASI,KUMASI METRO,ASHANTI
"AGRIC NZEMA SENIOR HIGH SCHOOL, KUMASI","KUMASI, AGRIC NZEMA",KUMASI METRO,ASHANTI
OPOKU WARE SENIOR HIGH SCHOOL,SANTASI-KUMASI,KUMASI METRO,ASHANTI
"ST. HUBERT SEM/SENIOR HIGH SCHOOL, KUMASI",SANTASI-KUMASI,KUMASI METRO,ASHANTI
KUMASI SENIOR HIGH SCHOOL,GYINYASE-KUMASI,KUMASI METRO,ASHANTI
"ISLAMIC SENIOR HIGH SCHOOL, AMPABAME",AMPABAME,KUMASI METRO.,ASHANTI
METHODIST TECHNINCAL  INSTITUTE,KWADASO,KUMASI METRO.,ASHANTI
"ADVENTIST GIRLS SENIOR HIGH SCHOOL, NTONSO",NTONSO,KWABRE EAST,ASHANTI
ADANWOMASE SENIOR HIGH SCHOOL,ADANWOMASE,KWABRE EAST,ASHANTI
GYAAMA PENSAN SENIOR HIGH/TECH SCHOOL,ABOASO-ASHANTI,KWABRE EAST,ASHANTI
KOFI ADJEI SENIOR HIGH/TECH SCHOOL,BAMPENASE,KWABRE EAST,ASHANTI
SIMMS SENIOR HIGH/COM. SCHOOL,FAWOADE,KWABRE EAST,ASHANTI
ANTOA SENIOR HIGH SCHOOL,ANTOA,KWABRE EAST,ASHANTI
OPOKU AGYEMAN SENIOR HIGH/TECH SCHOOL,APAAH,MAMPONG MUNICIPAL,ASHANTI
KOFIASE ADVENTIST SENIOR HIGH/TECH. SCHOOL,KOFIASE,MAMPONG MUNICIPAL,ASHANTI
AMANIAMPONG SENIOR HIGH SCHOOL,MAMPONG,MAMPONG MUNICIPAL,ASHANTI
"ST. JOSEPH SEM/SENIOR HIGH SCHOOL, MAMPONG",MAMPONG,MAMPONG MUNICIPAL,ASHANTI
"ST. MONICA'S SENIOR HIGH SCHOOL, MAMPONG",MAMPONG,MAMPONG MUNICIPAL,ASHANTI
SPIRITAN SENIOR HIGH SCHOOL,ADANKWAME,NKAWIE,ASHANTI
"CHRIST THE KING CATH., OBUASI",OBUASI,OBUASI MUNICIPAL,ASHANTI
OBUASI SENIOR HIGH/TECH SCHOOL,OBUASI,OBUASI MUNICIPAL,ASHANTI
"ST. JEROME SENIOR HIGH SCHOOL, ABOFOUR",ABOFOUR,OFFINSO MUNICIPAL,ASHANTI
NAMONG SENIOR HIGH/TECH SCHOOL,NAMONG,OFFINSO MUNICIPAL,ASHANTI
DWAMENA AKENTEN SENIOR HIGH SCHOOL,OFFINSO,OFFINSO MUNICIPAL,ASHANTI
WIAFE AKENTEN PRESBY SENIOR HIGH SCHOOL,AFRANCHO,OFFINSO NORTH,ASHANTI
AKUMADAN SENIOR HIGH SCHOOL,AKUMADAN,OFFINSO NORTH,ASHANTI
NKENKANSU COMMUNITY SENIOR HIGH SCHOOL,NKENKANSU,OFFINSO NORTH,ASHANTI
ASUOSO COMM. SENIOR HIGH SCHOOL,ASUOSO,OFFINSO NORTH,ASHANTI
NSUTAMAN CATH. SENIOR HIGH SCHOOL,NSUTA,SEKYERE CENTRAL,ASHANTI
GHANA MUSLIM MISSION SENIOR HIGH SCHOOL,BEPOSO,SEKYERE CENTRAL,ASHANTI
"PRESBY SENIOR HIGH/TECH SCHOOL, KWAMANG",KWAMANG,SEKYERE CENTRAL,ASHANTI
TIJJANIYA SENIOR HIGH SCHOOL,ASOKORE ,SEKYERE EAST,ASHANTI
"T. I. AHMADIYYA GIRL'S SENIOR HIGH SCHOOL, ASOKORE",ASOKORE ,SEKYERE EAST,ASHANTI
KROBEA ASANTE TECH/VOC SCHOOL,ASOKORE,SEKYERE EAST,ASHANTI
EFFIDUASE SENIOR HIGH/COM SCHOOL,EFFIDUASE,SEKYERE EAST,ASHANTI
EFFIDUASE SENIOR HIGH/TECH SCHOOL,AKYAWKROM,SEKYERE EAST,ASHANTI
BANKOMAN SENIOR HIGH SCHOOL,BANKO,SEKYERE KUMAWU,ASHANTI
TWENEBOA KODUA SENIOR HIGH SCHOOL,KUMAWU,SEKYERE KUMAWU,ASHANTI
DADEASE AGRIC SENIOR HIGH SCHOOL,DADEASE,SEKYERE KUMAWU,ASHANTI
BODOMASE SENIOR HIGH/TECH SCHOOL,BODOMASE,SEKYERE KUMAWU,ASHANTI
OKOMFO ANOKYE SENIOR HIGH SCHOOL,WIAMOASE,SEKYERE SOUTH,ASHANTI
ADU GYAMFI SENIOR HIGH SCHOOL,JAMASI,SEKYERE SOUTH,ASHANTI
"S.D.A. SENIOR HIGH SCHOOL, AGONA",AGONA,SEKYERE SOUTH,ASHANTI
AGONA SENIOR HIGH/TECH SCHOOL,AGONA,SEKYERE SOUTH,ASHANTI
KONADU YIADOM CATHOLIC SENIOR HIGH SCHOOL,ASAMANG,SEKYERE SOUTH,ASHANTI
BANDAMAN SENIOR HIGH SCHOOL,BANDA AHENKRO,BANDA,BONO
BEREKUM PRESBY SENIOR HIGH SCHOOL,BEREKUM ,BEREKUM-MUNICIPAL,BONO
BEREKUM SENIOR HIGH SCHOOL,BEREKUM ,BEREKUM-MUNICIPAL,BONO
JINIJINI SENIOR HIGH SCHOOL ,JINIJINI,BEREKUM-MUNICIPAL,BONO
"ST. AUGUSTINE SENIOR HIGH SCHOOL, NSAPOR-BEREKUM",NSAPOR-BEREKUM,BEREKUM-MUNICIPAL,BONO
"METHODIST SENIOR HIGH/TECH SCHOOL,BIADAN",BIADAN,BEREKUM-MUNICIPAL,BONO
DORMAA SENIOR HIGH SCHOOL,DORMAA AHENKRO,DORMAA CENTRAL MUNICIPAL,BONO
"SALVATION ARMY SENIOR HIGH SCHOOL, ABOABO DORMAA",ABOABO-DORMAA,DORMAA CENTRAL MUNICIPAL,BONO
MANSEN SENIOR HIGH SCHOOL,WAMFIE,DORMAA EAST,BONO
WAMANAFO SENIOR HIGH/TECH SCHOOL,WAMANAFO,DORMAA EAST,BONO
NKRANKWANTA COMM SENIOR HIGH SCHOOL,NKRANKWANTA,DORMAA WEST,BONO
"ST. ANN'S GIRLS SENIOR HIGH SCHOOL, SAMPA",SAMPA,JAMAN NORTH,BONO
NAFANA SENIOR HIGH SCHOOL,SAMPA,JAMAN NORTH,BONO
SUMAMAN SENIOR HIGH SCHOOL,SUMA-AHENKRO,JAMAN NORTH,BONO
DIAMONO SENIOR HIGH SCHOOL,DUADASO NO.2,JAMAN NORTH,BONO
GOKA SENIOR HIGH/TECH SCHOOL,GOKA,JAMAN NORTH,BONO
DUADASO NO. 1 SENIOR HIGH/TECH SCHOOL,DUADASO,JAMAN NORTH,BONO
DROBO SENIOR HIGH SCHOOL,DROBO,JAMAN SOUTH,BONO
OUR LADY OF PROVIDENCE SENIOR HIGH SCHOOL,KWASI BUOKROM,JAMAN SOUTH,BONO
"S.D.A SENIOR HIGH SCHOOL, SUNYANI",SUNYANI,SUNYANI MUNICIPAL,BONO
TWENE AMANFO SENIOR HIGH/TECH SCHOOL,SUNYANI,SUNYANI MUNICIPAL,BONO
SUNYANI METHODIST TECHNICAL INST.,SUNYANI,SUNYANI MUNICIPAL,BONO
"ST. JAMES SEM & SENIOR HIGH SCHOOL, ABESIM",ABESIM,SUNYANI MUNICIPAL,BONO
SUNYANI SENIOR HIGH SCHOOL,SUNYANI,SUNYANI MUNICIPAL,BONO
"SACRED HEART SENIOR HIGH SCHOOL, NSOATRE",NSOATRE,SUNYANI WEST,BONO
CHIRAA SENIOR HIGH SCHOOL,CHIRAA,SUNYANI WEST,BONO
ODOMASEMAN SENIOR HIGH SCHOOL,ODOMASE,SUNYANI WEST,BONO
DON BOSCO VOC./TECH. INST.,ODUMASI ,SUNYANI WEST,BONO
"NOTRE DAME GIRLS SENIOR HIGH SCHOOL, SUNYANI",SUNYANI,SUNYANI WEST,BONO
MENJI SENIOR HIGH SCHOOL,MENJI,TAIN,BONO
NSAWKAW STATE SENIOR HIGH SCHOOL,NSAWKAW,TAIN,BONO
NKORANMAN SENIOR HIGH SCHOOL,SEIKWA,TAIN,BONO
BADU SENIOR HIGH/TECH SCHOOL,BADU/WENCHI,TAIN,BONO
NKYERAA SENIOR HIGH SCHOOL,NCHIRAA,WENCHI MUNICIPAL,BONO
WENCHI METH. SENIOR HIGH SCHOOL,WENCHI,WENCHI MUNICIPAL,BONO
KOASE SENIOR HIGH/TECH SCHOOL,KOASE/WENCHI,WENCHI MUNICIPAL,BONO
ISTIQUAAMA SENIOR HIGH SCHOOL,WENCHI,WENCHI MUNICIPAL,BONO
ATEBUBU SENIOR HIGH SCHOOL,ATEBUBU,ATEBUBU-AMANTIN,BONO EAST
NEW KROKOMPE COMM. SENIOR HIGH SCHOOL,NEW KONKROMPE ,ATEBUBU-AMANTIN,BONO EAST
AMANTEN SENIOR HIGH SCHOOL,AMANTEN,ATEBUBU-AMANTIN,BONO EAST
NEW LONGORO COMM SENIOR HIGH SCHOOL (DEGA),NEW LONGORO,KINTAMPO NORTH,BONO EAST
KINTAMPO SENIOR HIGH SCHOOL,KINTAMPO,KINTAMPO NORTH MUNICIPAL,BONO EAST
JEMA SENIOR HIGH SCHOOL,JEMA,KINTAMPO SOUTH,BONO EAST
NKORANZA TECH INST.,NKORANZA,NKORANZA,BONO EAST
OSEI BONSU SENIOR HIGH SCHOOL,YEFRI,NKORANZA NORTH,BONO EAST
BUSUNYA SENIOR HIGH SCHOOL,BUSUNYA,NKORANZA NORTH,BONO EAST
KWABRE SENIOR HIGH SCHOOL,AKUMA,NKORANZA SOUTH,BONO EAST
NKORANZA SENIOR HIGH/TECH SCHOOL,NKORANZA,NKORANZA SOUTH,BONO EAST
YEJI SENIOR HIGH/TECH SCHOOL,YEJI,PRU,BONO EAST
PRANG SENIOR HIGH,PRANG,PRU,BONO EAST
ABEASEMAN COMM. DAY SENIOR HIGH SCHOOL,ABEASE,PRU,BONO EAST
BASSA COMMUNITY SENIOR HIGH SCHOOL,BODINKA,SENE EAST,BONO EAST
KAJAJI SENIOR HIGH SCHOOL,KAJAJI,SENE EAST,BONO EAST
KWAME DANSO SENIOR HIGH/TECH SCHOOL,KWAME DANSO,SENE WEST,BONO EAST
GYARKO COMM. DAY SENIOR HIGH SCHOOL,TECHIMAN,TECHIMAN MUNICIPAL,BONO EAST
KESSE BASAHYIA SENIOR HIGH SCHOOL,TECHIMAN OFORIKROM,TECHIMAN MUNICIPAL,BONO EAST
TECHIMAN SENIOR HIGH SCHOOL,TECHIMAN,TECHIMAN MUNICIPAL,BONO EAST
"OUR LADY OF MOUNT CARMEL GIRLS SENIOR HIGH SCHOOL, TECHIMAN",TECHIMAN,TECHIMAN MUNICIPAL,BONO EAST
YEBOAH ASUAMAH SENIOR HIGH SCHOOL,NSUTA,TECHIMAN MUNICIPAL,BONO EAST
KWARTENG ANKOMAH SENIOR HIGH SCHOOL,TANOSO-TECHMIAN,TECHIMAN MUNICIPAL,BONO EAST
GUAKRO EFFAH SENIOR HIGH SCHOOL,OFFUMAN,TECHIMAN NORTH,BONO EAST
"ST. FRANCIS SEMINARY/SENIOR HIGH SCHOOL, BUOYEM",BUOYEM,TECHIMAN NORTH,BONO EAST
TUOBODOM SENIOR HIGH/TECH SCHOOL,TUOBODOM,TECHIMAN NORTH,BONO EAST
AMEYAW AKUMFI SENIOR HIGH/TECH SCHOOL,AWOROWA,TECHIMAN NORTH,BONO EAST
KROBO COMM.SENIOR HIGH SCHOOL,KROBO,TECHIMAN NORTH,BONO EAST
ABRAFI SENIOR HIGH SCHOOL,TECHIMAN,TANO NORTH,BONO EAST 
ASUANSI TECH. INST.,ASUANSI,ABURA/ASEBU/ KWAMAN,CENTRAL
ABURAMAN SENIOR HIGH SCHOOL,ABURA DUNKWA,ABURA/ASEBU/ KWAMANKESE,CENTRAL
ABAKRAMPA SENIOR HIGH/TECH SCHOOL,ABAKRAMPA,ABURA/ASEBU/ KWAMANKESE,CENTRAL
MOREE COMM. SENIOR HIGH SCHOOL,MOREE,ABURA/ASEBU/ KWAMANKESE,CENTRAL
AGGREY MEM. A.M.E.ZION SENIOR HIGH SCHOOL,CAPE COAST,ABURA/ASEBU/ KWAMANKESE,CENTRAL
NSABA PRESBY SENIOR HIGH SCHOOL,NSABA,AGONA EAST,CENTRAL
AGONA NAMONWORA COMM.SENIOR HIGH SCHOOL,AGONA NAMONWORA,AGONA EAST,CENTRAL
KWANYAKO SENIOR HIGH SCHOOL,KWANYAKO,AGONA EAST,CENTRAL
SWEDRU SENIOR HIGH SCHOOL,SWEDRU,AGONA EAST,CENTRAL
SIDDIQ SENIOR HIGH SCHOOL,AGONA NYAKROM,AGONA WEST MUNICIPAL,CENTRAL
NYAKROM SENIOR HIGH TECH SCHOOL,NYAKROM,AGONA WEST MUNICIPAL,CENTRAL
AGONA FANKOBAA SENIOR HIGH SCHOOL,AGONA FANKOBAA,AGONA WEST MUNICIPAL,CENTRAL
SWEDRU SCH. OF BUSINESS,SWEDRU,AGONA WEST MUNICIPAL,CENTRAL
BISEASE SENIOR HIGH/COMM. SCHOOL,BISEASE,AJUMAKO/ ENYAN/ESIAM,CENTRAL
ENYAN DENKYIRA SENIOR HIGH SCHOOL,DENKYIRA,AJUMAKO/ ENYAN/ESIAM,CENTRAL
MANDO SENIOR HIGH/TECH SCHOOL,MANDO,AJUMAKO/ ENYAN/ESIAM,CENTRAL
ENYAN MAIM COMM. DAY SENIOR HIGH SCHOOL,ENYAN MAIM ,AJUMAKO/ ENYAN/ESIAM,CENTRAL
ENYAN-ABAASA TECHNICAL INSTITUTE,ENYAN-ABAASA,AJUMAKO/ENYAN /ESSIAM,CENTRAL
BRAKWA SENIOR HIGH/TECH SCHOOL,BRAKWA,ASIKUMA/ODOBEN/ BRAKWA,CENTRAL
ODOBEN SENIOR HIGH SCHOOL,ODOBEN,ASIKUMA/ODOBEN/ BRAKWA,CENTRAL
BREMAN ASIKUMA SENIOR HIGH SCHOOL,BREMAN ,ASIKUMA/ODOBEN/ BRAKWA,CENTRAL
ASSIN NORTH SENIOR HIGH/TECH SCHOOL,ASSIN ASEMPANEYE,ASSIN NORTH MUNICIPAL,CENTRAL
ASSIN STATE COLLEGE,ASSIN BEREKU,ASSIN NORTH MUNICIPAL,CENTRAL
GYAASE COMMUNITY SENIOR HIGH SCHOOL,ASSIN-AKONFUDI,ASSIN NORTH MUNICIPAL,CENTRAL
OBIRI YEBOAH SENIOR HIGH/TECHNICAL SCHOOL,ASSIN FOSU,ASSIN NORTH MUNICIPAL,CENTRAL
ASSIN NSUTA SENIOR HIGH SCHOOL,ASSIN NSUTA,ASSIN SOUTH,CENTRAL
ASSIN MANSO SENIOR HIGH SCHOOL,ASSIN MANSO,ASSIN SOUTH,CENTRAL
ADANKWAMAN SENIOR HIGH SCHOOL,ASSIN DARMANG,ASSIN SOUTH,CENTRAL
NYANKUMASE AHENKRO SENIOR HIGH SCHOOL,NYANKUMASE AHENKRO,ASSIN SOUTH,CENTRAL
BONTRASE SENIOR HIGH TECH. SCHOOL,JEI KRODUA,AWUTU SENYA,CENTRAL
AWUTU BAWJIASE COMM SENIOR HIGH SCHOOL,BAWJIASE,AWUTU/SENYA,CENTRAL
OBRACHIRE SENIOR HIGH/TECH SCHOOL,OBRAKYERE,AWUTU/SENYA,CENTRAL
ODUPONG COMM. DAY SCHOOL,ODUPONG-KASOA,AWUTU/SENYA,CENTRAL
AWUTU WINTON SENIOR HIGH SCHOOL,AWUTU ,AWUTU/SENYA,CENTRAL
SENYA SENIOR HIGH SCHOOL,SENYA,AWUTU/SENYA,CENTRAL
CAPE COAST TECH. INST.,CAPE COAST,CAPE COAST,CENTRAL
EFFUTU SENIOR HIGH/TECH SCHOOL,CAPE COAST,CAPE COAST METRO,CENTRAL
"ACADEMY OF CHRIST THE KING, CAPE COAST",CAPE COAST,CAPE COAST METRO,CENTRAL
"WESLEY GIRLS SENIOR HIGH SCHOOL, CAPE COAST",CAPE COAST,CAPE COAST METRO,CENTRAL
GHANA NATIONAL COLLEGE,CAPE COAST,CAPE COAST METRO,CENTRAL
UNIVERSITY PRACTICE SENIOR HIGH SCHOOL,CAPE COAST,CAPE COAST METRO,CENTRAL
"HOLY CHILD SCHOOL, CAPE COAST",CAPE COAST,CAPE COAST METRO,CENTRAL
ADISADEL COLLEGE,CAPE COAST,CAPE COAST METRO,CENTRAL
